0	1	2	3	4	1_binned	2_binned	3_binned	4_binned
1	1.048	-1.119	-0.957	0.996	(1.045, 1.267]	(-1.216, -0.727]	(-1.358, -0.897]	(0.884, 1.084]
0	0.488	1.698	0.791	0.894	(0.463, 0.617]	(1.236, 2.43]	(0.416, 0.796]	(0.884, 1.084]
0	1.413	-0.852	0.31	1.128	(1.267, 1.663]	(-1.216, -0.727]	(-0.0495, 0.416]	(1.084, 1.27]
1	0.77	-0.449	-0.986	0.966	(0.745, 0.881]	(-0.727, -0.39]	(-1.358, -0.897]	(0.884, 1.084]
0	2.468	0.664	1.024	0.317	(1.663, 5.331]	(0.383, 0.729]	(0.796, 1.272]	(0.018, 0.376]
1	1.014	0.013	-0.485	0.695	(0.881, 1.045]	(-0.0025, 0.383]	(-0.498, -0.0495]	(0.56, 0.727]
0	1.251	-0.75	1.09	0.462	(1.045, 1.267]	(-1.216, -0.727]	(0.796, 1.272]	(0.376, 0.56]
1	1.114	1.782	1.45	0.653	(1.045, 1.267]	(1.236, 2.43]	(1.272, 1.743]	(0.56, 0.727]
1	0.657	-0.901	-0.855	1.176	(0.617, 0.745]	(-1.216, -0.727]	(-0.897, -0.498]	(1.084, 1.27]
0	1.009	-0.66	-1.539	1.316	(0.881, 1.045]	(-0.727, -0.39]	(-1.742, -1.358]	(1.27, 1.578]
0	2.122	0.792	0.723	2.438	(1.663, 5.331]	(0.729, 1.236]	(0.416, 0.796]	(1.578, 5.7]
1	0.304	-1.425	-1.646	1.166	(0.274, 0.463]	(-2.36, -1.216]	(-1.742, -1.358]	(1.084, 1.27]
1	1.167	0.556	-0.911	0.908	(1.045, 1.267]	(0.383, 0.729]	(-1.358, -0.897]	(0.884, 1.084]
1	0.88	0.617	-0.649	1.724	(0.745, 0.881]	(0.383, 0.729]	(-0.897, -0.498]	(1.578, 5.7]
0	0.313	1.256	-0.904	1.002	(0.274, 0.463]	(1.236, 2.43]	(-1.358, -0.897]	(0.884, 1.084]
0	1.263	0.596	0.46	1.063	(1.045, 1.267]	(0.383, 0.729]	(0.416, 0.796]	(0.884, 1.084]
1	1.121	-0.379	1.363	1.451	(1.045, 1.267]	(-0.39, -0.0025]	(1.272, 1.743]	(1.27, 1.578]
0	1.205	0.916	-1.209	0.354	(1.045, 1.267]	(0.729, 1.236]	(-1.358, -0.897]	(0.018, 0.376]
1	0.42	-0.722	0.732	0.885	(0.274, 0.463]	(-0.727, -0.39]	(0.416, 0.796]	(0.884, 1.084]
0	1.38	1.427	1.105	1.788	(1.267, 1.663]	(1.236, 2.43]	(0.796, 1.272]	(1.578, 5.7]
1	0.704	0.369	-0.23	1.167	(0.617, 0.745]	(-0.0025, 0.383]	(-0.498, -0.0495]	(1.084, 1.27]
1	0.695	0.42	1.203	0.769	(0.617, 0.745]	(0.383, 0.729]	(0.796, 1.272]	(0.727, 0.884]
1	0.312	1.722	1.411	1.133	(0.274, 0.463]	(1.236, 2.43]	(1.272, 1.743]	(1.084, 1.27]
0	0.431	0.572	-0.684	2.262	(0.274, 0.463]	(0.383, 0.729]	(-0.897, -0.498]	(1.578, 5.7]
0	0.309	-1.951	-1.229	1.592	(0.274, 0.463]	(-2.36, -1.216]	(-1.358, -0.897]	(1.578, 5.7]
1	0.458	0.129	-0.519	1.195	(0.274, 0.463]	(-0.0025, 0.383]	(-0.897, -0.498]	(1.084, 1.27]
0	0.637	-0.037	-1.732	1.254	(0.617, 0.745]	(-0.39, -0.0025]	(-1.742, -1.358]	(1.084, 1.27]
1	0.976	0.291	-1.128	0.668	(0.881, 1.045]	(-0.0025, 0.383]	(-1.358, -0.897]	(0.56, 0.727]
1	0.535	-1.391	-0.825	1.343	(0.463, 0.617]	(-2.36, -1.216]	(-0.897, -0.498]	(1.27, 1.578]
0	2.638	1.289	-0.28	0.991	(1.663, 5.331]	(1.236, 2.43]	(-0.498, -0.0495]	(0.884, 1.084]
0	1.541	0.058	1.227	1.217	(1.267, 1.663]	(-0.0025, 0.383]	(0.796, 1.272]	(1.084, 1.27]
0	2.559	-0.021	-1.615	2.095	(1.663, 5.331]	(-0.39, -0.0025]	(-1.742, -1.358]	(1.578, 5.7]
1	1.925	-0.859	1.353	1.769	(1.663, 5.331]	(-1.216, -0.727]	(1.272, 1.743]	(1.578, 5.7]
1	1.545	0.059	-1.732	1.034	(1.267, 1.663]	(-0.0025, 0.383]	(-1.742, -1.358]	(0.884, 1.084]
0	1.2	-1.018	-1.173	0.845	(1.045, 1.267]	(-1.216, -0.727]	(-1.358, -0.897]	(0.727, 0.884]
0	0.609	-0.521	0.287	0.65	(0.463, 0.617]	(-0.727, -0.39]	(-0.0495, 0.416]	(0.56, 0.727]
0	0.318	-1.381	-0.25	2.482	(0.274, 0.463]	(-2.36, -1.216]	(-0.498, -0.0495]	(1.578, 5.7]
1	0.947	-0.329	-0.033	0.02	(0.881, 1.045]	(-0.39, -0.0025]	(-0.0495, 0.416]	(0.018, 0.376]
0	1.147	0.502	-1.131	1.237	(1.045, 1.267]	(0.383, 0.729]	(-1.358, -0.897]	(1.084, 1.27]
1	1.028	-0.732	1.243	1.198	(0.881, 1.045]	(-1.216, -0.727]	(0.796, 1.272]	(1.084, 1.27]
1	0.303	1.225	0.629	1.256	(0.274, 0.463]	(0.729, 1.236]	(0.416, 0.796]	(1.084, 1.27]
0	0.534	-0.766	-0.533	0.974	(0.463, 0.617]	(-1.216, -0.727]	(-0.897, -0.498]	(0.884, 1.084]
0	0.459	-1.448	-0.858	0.262	(0.274, 0.463]	(-2.36, -1.216]	(-0.897, -0.498]	(0.018, 0.376]
0	1.076	1.912	-0.667	0.618	(1.045, 1.267]	(1.236, 2.43]	(-0.897, -0.498]	(0.56, 0.727]
1	0.442	1.823	-1.466	0.988	(0.274, 0.463]	(1.236, 2.43]	(-1.742, -1.358]	(0.884, 1.084]
1	0.575	-0.588	1.555	0.501	(0.463, 0.617]	(-0.727, -0.39]	(1.272, 1.743]	(0.376, 0.56]
0	0.999	1.633	1.532	1.019	(0.881, 1.045]	(1.236, 2.43]	(1.272, 1.743]	(0.884, 1.084]
1	1.175	-0.643	0.099	1.273	(1.045, 1.267]	(-0.727, -0.39]	(-0.0495, 0.416]	(1.27, 1.578]
0	0.733	-0.49	1.685	2.278	(0.617, 0.745]	(-0.727, -0.39]	(1.272, 1.743]	(1.578, 5.7]
1	1.792	-0.344	0.136	0.841	(1.663, 5.331]	(-0.39, -0.0025]	(-0.0495, 0.416]	(0.727, 0.884]
1	0.641	1.633	0.001	1.118	(0.617, 0.745]	(1.236, 2.43]	(-0.0495, 0.416]	(1.084, 1.27]
0	0.442	0.276	0.929	1.638	(0.274, 0.463]	(-0.0025, 0.383]	(0.796, 1.272]	(1.578, 5.7]
1	1.152	0.873	-1.4	0.29	(1.045, 1.267]	(0.729, 1.236]	(-1.742, -1.358]	(0.018, 0.376]
0	0.546	0.444	-0.292	1.429	(0.463, 0.617]	(0.383, 0.729]	(-0.498, -0.0495]	(1.27, 1.578]
1	1.274	-0.15	-0.628	1.824	(1.267, 1.663]	(-0.39, -0.0025]	(-0.897, -0.498]	(1.578, 5.7]
1	0.625	-0.506	1.263	0.814	(0.617, 0.745]	(-0.727, -0.39]	(0.796, 1.272]	(0.727, 0.884]
0	0.667	1.941	-0.188	0.446	(0.617, 0.745]	(1.236, 2.43]	(-0.498, -0.0495]	(0.376, 0.56]
1	1.864	0.056	-0.29	0.55	(1.663, 5.331]	(-0.0025, 0.383]	(-0.498, -0.0495]	(0.376, 0.56]
0	0.732	-0.712	-0.454	0.451	(0.617, 0.745]	(-0.727, -0.39]	(-0.498, -0.0495]	(0.376, 0.56]
1	1.065	-0.611	-0.375	1.116	(1.045, 1.267]	(-0.727, -0.39]	(-0.498, -0.0495]	(1.084, 1.27]
1	0.91	-1.631	-0.125	1.964	(0.881, 1.045]	(-2.36, -1.216]	(-0.498, -0.0495]	(1.578, 5.7]
0	0.512	0.589	-1.486	0.552	(0.463, 0.617]	(0.383, 0.729]	(-1.742, -1.358]	(0.376, 0.56]
1	1.377	-0.587	-0.869	1.735	(1.267, 1.663]	(-0.727, -0.39]	(-0.897, -0.498]	(1.578, 5.7]
1	1.825	0.661	-0.885	1.03	(1.663, 5.331]	(0.383, 0.729]	(-0.897, -0.498]	(0.884, 1.084]
1	1.477	0.87	0.367	0.643	(1.267, 1.663]	(0.729, 1.236]	(-0.0495, 0.416]	(0.56, 0.727]
1	1.074	-0.203	0.943	1.242	(1.045, 1.267]	(-0.39, -0.0025]	(0.796, 1.272]	(1.084, 1.27]
1	0.652	0.084	-0.285	0.344	(0.617, 0.745]	(-0.0025, 0.383]	(-0.498, -0.0495]	(0.018, 0.376]
1	1.748	-1.259	-1.568	1.159	(1.663, 5.331]	(-2.36, -1.216]	(-1.742, -1.358]	(1.084, 1.27]
1	0.653	0.816	1.491	1.173	(0.617, 0.745]	(0.729, 1.236]	(1.272, 1.743]	(1.084, 1.27]
1	0.603	-1.305	-0.295	1.986	(0.463, 0.617]	(-2.36, -1.216]	(-0.498, -0.0495]	(1.578, 5.7]
0	0.51	-0.4	1.364	1.352	(0.463, 0.617]	(-0.727, -0.39]	(1.272, 1.743]	(1.27, 1.578]
1	0.664	-0.216	0.435	1.156	(0.617, 0.745]	(-0.39, -0.0025]	(0.416, 0.796]	(1.084, 1.27]
1	1.436	1.09	0.733	0.278	(1.267, 1.663]	(0.729, 1.236]	(0.416, 0.796]	(0.018, 0.376]
1	0.709	0.85	0.672	0.949	(0.617, 0.745]	(0.729, 1.236]	(0.416, 0.796]	(0.884, 1.084]
0	1.135	0.285	-1.109	1.089	(1.045, 1.267]	(-0.0025, 0.383]	(-1.358, -0.897]	(1.084, 1.27]
1	1.124	0.354	0.04	1.132	(1.045, 1.267]	(-0.0025, 0.383]	(-0.0495, 0.416]	(1.084, 1.27]
1	0.341	-1.223	-1.373	0.994	(0.274, 0.463]	(-2.36, -1.216]	(-1.742, -1.358]	(0.884, 1.084]
0	1.218	-0.308	-1.602	1.532	(1.045, 1.267]	(-0.39, -0.0025]	(-1.742, -1.358]	(1.27, 1.578]
1	0.352	-1.44	0.063	0.644	(0.274, 0.463]	(-2.36, -1.216]	(-0.0495, 0.416]	(0.56, 0.727]
1	0.637	0.994	1.198	0.755	(0.617, 0.745]	(0.729, 1.236]	(0.796, 1.272]	(0.727, 0.884]
0	0.802	-0.507	0.519	1.249	(0.745, 0.881]	(-0.727, -0.39]	(0.416, 0.796]	(1.084, 1.27]
0	1.178	-1.468	-0.931	1.113	(1.045, 1.267]	(-2.36, -1.216]	(-1.358, -0.897]	(1.084, 1.27]
1	0.775	-1.014	-0.295	0.804	(0.745, 0.881]	(-1.216, -0.727]	(-0.498, -0.0495]	(0.727, 0.884]
0	0.928	-0.44	-0.658	1.57	(0.881, 1.045]	(-0.727, -0.39]	(-0.897, -0.498]	(1.27, 1.578]
0	0.812	-0.292	0.794	0.639	(0.745, 0.881]	(-0.39, -0.0025]	(0.416, 0.796]	(0.56, 0.727]
1	1.263	-0.147	-1.176	1.318	(1.045, 1.267]	(-0.39, -0.0025]	(-1.358, -0.897]	(1.27, 1.578]
0	1.277	-0.164	0.024	0.66	(1.267, 1.663]	(-0.39, -0.0025]	(-0.0495, 0.416]	(0.56, 0.727]
0	1.447	-1.048	1.596	1.251	(1.267, 1.663]	(-1.216, -0.727]	(1.272, 1.743]	(1.084, 1.27]
1	0.923	0.825	-1.263	0.812	(0.881, 1.045]	(0.729, 1.236]	(-1.358, -0.897]	(0.727, 0.884]
0	0.863	0.002	-0.218	1.329	(0.745, 0.881]	(-0.0025, 0.383]	(-0.498, -0.0495]	(1.27, 1.578]
0	0.621	0.645	0.474	0.697	(0.617, 0.745]	(0.383, 0.729]	(0.416, 0.796]	(0.56, 0.727]
1	0.664	0.845	1.33	0.592	(0.617, 0.745]	(0.729, 1.236]	(1.272, 1.743]	(0.56, 0.727]
1	1.302	-0.364	0.124	0.147	(1.267, 1.663]	(-0.39, -0.0025]	(-0.0495, 0.416]	(0.018, 0.376]
0	1.073	1.932	-1.676	0.803	(1.045, 1.267]	(1.236, 2.43]	(-1.742, -1.358]	(0.727, 0.884]
1	0.415	1.473	-0.724	0.829	(0.274, 0.463]	(1.236, 2.43]	(-0.897, -0.498]	(0.727, 0.884]
1	1.565	0.915	-1.256	0.485	(1.267, 1.663]	(0.729, 1.236]	(-1.358, -0.897]	(0.376, 0.56]
0	0.684	0.813	-1.557	0.77	(0.617, 0.745]	(0.729, 1.236]	(-1.742, -1.358]	(0.727, 0.884]
1	0.818	-0.868	0.519	0.705	(0.745, 0.881]	(-1.216, -0.727]	(0.416, 0.796]	(0.56, 0.727]
1	0.847	-0.389	0.605	0.414	(0.745, 0.881]	(-0.39, -0.0025]	(0.416, 0.796]	(0.376, 0.56]
0	0.823	1.163	1.226	1.047	(0.745, 0.881]	(0.729, 1.236]	(0.796, 1.272]	(0.884, 1.084]
0	0.964	0.029	-0.104	0.35	(0.881, 1.045]	(-0.0025, 0.383]	(-0.498, -0.0495]	(0.018, 0.376]
1	1.24	0.152	0.496	0.77	(1.045, 1.267]	(-0.0025, 0.383]	(0.416, 0.796]	(0.727, 0.884]
1	0.617	1.431	-1.119	0.798	(0.463, 0.617]	(1.236, 2.43]	(-1.358, -0.897]	(0.727, 0.884]
1	0.445	-1.12	-1.676	0.837	(0.274, 0.463]	(-1.216, -0.727]	(-1.742, -1.358]	(0.727, 0.884]
1	1.349	-1.565	-0.602	1.033	(1.267, 1.663]	(-2.36, -1.216]	(-0.897, -0.498]	(0.884, 1.084]
1	0.524	-1.114	1.01	0.394	(0.463, 0.617]	(-1.216, -0.727]	(0.796, 1.272]	(0.376, 0.56]
1	1.215	0.744	0.537	0.534	(1.045, 1.267]	(0.729, 1.236]	(0.416, 0.796]	(0.376, 0.56]
0	0.348	-1.52	0.332	0.486	(0.274, 0.463]	(-2.36, -1.216]	(-0.0495, 0.416]	(0.376, 0.56]
1	1.599	-1.367	-1.364	0.376	(1.267, 1.663]	(-2.36, -1.216]	(-1.742, -1.358]	(0.018, 0.376]
1	1.038	1.267	-0.809	1.92	(0.881, 1.045]	(1.236, 2.43]	(-0.897, -0.498]	(1.578, 5.7]
1	1.04	-0.629	-1.578	0.873	(0.881, 1.045]	(-0.727, -0.39]	(-1.742, -1.358]	(0.727, 0.884]
0	0.488	-1.191	1.315	0.574	(0.463, 0.617]	(-1.216, -0.727]	(1.272, 1.743]	(0.56, 0.727]
1	0.395	1.58	-0.387	1.73	(0.274, 0.463]	(1.236, 2.43]	(-0.498, -0.0495]	(1.578, 5.7]
0	0.368	-0.881	0.232	1.259	(0.274, 0.463]	(-1.216, -0.727]	(-0.0495, 0.416]	(1.084, 1.27]
1	0.932	0.79	1.624	0.789	(0.881, 1.045]	(0.729, 1.236]	(1.272, 1.743]	(0.727, 0.884]
1	0.876	-0.059	-0.512	0.623	(0.745, 0.881]	(-0.39, -0.0025]	(-0.897, -0.498]	(0.56, 0.727]
0	1.861	-0.667	-0.277	1.997	(1.663, 5.331]	(-0.727, -0.39]	(-0.498, -0.0495]	(1.578, 5.7]
0	0.331	1.639	1.172	0.843	(0.274, 0.463]	(1.236, 2.43]	(0.796, 1.272]	(0.727, 0.884]
1	0.378	-1.116	-0.289	1.45	(0.274, 0.463]	(-1.216, -0.727]	(-0.498, -0.0495]	(1.27, 1.578]
0	1.399	0.506	1.676	1.639	(1.267, 1.663]	(0.383, 0.729]	(1.272, 1.743]	(1.578, 5.7]
0	1.763	-1.14	0.063	0.717	(1.663, 5.331]	(-1.216, -0.727]	(-0.0495, 0.416]	(0.56, 0.727]
0	0.598	-1.099	-0.297	0.887	(0.463, 0.617]	(-1.216, -0.727]	(-0.498, -0.0495]	(0.884, 1.084]
1	0.685	0.643	-1.637	0.794	(0.617, 0.745]	(0.383, 0.729]	(-1.742, -1.358]	(0.727, 0.884]
0	0.381	-0.498	-0.126	0.379	(0.274, 0.463]	(-0.727, -0.39]	(-0.498, -0.0495]	(0.376, 0.56]
1	0.49	-2.359	-0.439	0.467	(0.463, 0.617]	(-2.36, -1.216]	(-0.498, -0.0495]	(0.376, 0.56]
0	1.974	-0.52	-0.274	1.046	(1.663, 5.331]	(-0.727, -0.39]	(-0.498, -0.0495]	(0.884, 1.084]
1	0.464	-2.19	0.863	1.148	(0.463, 0.617]	(-2.36, -1.216]	(0.796, 1.272]	(1.084, 1.27]
0	3.524	0.413	1.358	0.502	(1.663, 5.331]	(0.383, 0.729]	(1.272, 1.743]	(0.376, 0.56]
1	1.032	-0.978	0.678	0.604	(0.881, 1.045]	(-1.216, -0.727]	(0.416, 0.796]	(0.56, 0.727]
1	0.796	-0.391	0.418	1.192	(0.745, 0.881]	(-0.727, -0.39]	(0.416, 0.796]	(1.084, 1.27]
1	0.583	1.687	-0.278	0.98	(0.463, 0.617]	(1.236, 2.43]	(-0.498, -0.0495]	(0.884, 1.084]
0	1.212	0.266	0.342	0.968	(1.045, 1.267]	(-0.0025, 0.383]	(-0.0495, 0.416]	(0.884, 1.084]
0	2.11	0.969	0.013	0.566	(1.663, 5.331]	(0.729, 1.236]	(-0.0495, 0.416]	(0.56, 0.727]
0	1.006	0.503	-0.135	0.709	(0.881, 1.045]	(0.383, 0.729]	(-0.498, -0.0495]	(0.56, 0.727]
0	0.628	-0.317	-1.678	0.587	(0.617, 0.745]	(-0.39, -0.0025]	(-1.742, -1.358]	(0.56, 0.727]
1	0.464	-1.107	-0.41	0.525	(0.463, 0.617]	(-1.216, -0.727]	(-0.498, -0.0495]	(0.376, 0.56]
1	1.031	1.057	-0.08	1.233	(0.881, 1.045]	(0.729, 1.236]	(-0.498, -0.0495]	(1.084, 1.27]
0	0.99	0.753	1.671	0.664	(0.881, 1.045]	(0.729, 1.236]	(1.272, 1.743]	(0.56, 0.727]
0	2.066	0.02	0.385	1.332	(1.663, 5.331]	(-0.0025, 0.383]	(-0.0495, 0.416]	(1.27, 1.578]
0	0.872	0.717	1.067	0.425	(0.745, 0.881]	(0.383, 0.729]	(0.796, 1.272]	(0.376, 0.56]
0	0.625	0.276	0.272	2.293	(0.617, 0.745]	(-0.0025, 0.383]	(-0.0495, 0.416]	(1.578, 5.7]
1	1.067	-0.284	0.666	0.562	(1.045, 1.267]	(-0.39, -0.0025]	(0.416, 0.796]	(0.56, 0.727]
1	0.471	0.532	1.703	0.764	(0.463, 0.617]	(0.383, 0.729]	(1.272, 1.743]	(0.727, 0.884]
0	0.923	1.977	0.963	0.348	(0.881, 1.045]	(1.236, 2.43]	(0.796, 1.272]	(0.018, 0.376]
1	0.735	1.285	-0.067	0.604	(0.617, 0.745]	(1.236, 2.43]	(-0.498, -0.0495]	(0.56, 0.727]
1	0.47	0.019	-0.417	1.425	(0.463, 0.617]	(-0.0025, 0.383]	(-0.498, -0.0495]	(1.27, 1.578]
1	0.69	-0.866	-1.684	0.493	(0.617, 0.745]	(-1.216, -0.727]	(-1.742, -1.358]	(0.376, 0.56]
1	1.052	0.423	-0.511	1.364	(1.045, 1.267]	(0.383, 0.729]	(-0.897, -0.498]	(1.27, 1.578]
1	0.675	-0.414	0.782	0.17	(0.617, 0.745]	(-0.727, -0.39]	(0.416, 0.796]	(0.018, 0.376]
1	1.645	-0.421	-0.496	0.371	(1.267, 1.663]	(-0.727, -0.39]	(-0.498, -0.0495]	(0.018, 0.376]
1	0.353	1.209	0.993	0.777	(0.274, 0.463]	(0.729, 1.236]	(0.796, 1.272]	(0.727, 0.884]
1	0.424	0.476	1.372	2.397	(0.274, 0.463]	(0.383, 0.729]	(1.272, 1.743]	(1.578, 5.7]
0	1.33	1.084	0.755	0.416	(1.267, 1.663]	(0.729, 1.236]	(0.416, 0.796]	(0.376, 0.56]
1	1.274	-1.011	-0.817	0.246	(1.267, 1.663]	(-1.216, -0.727]	(-0.897, -0.498]	(0.018, 0.376]
0	1.045	-1.383	-0.047	0.145	(0.881, 1.045]	(-2.36, -1.216]	(-0.0495, 0.416]	(0.018, 0.376]
1	0.965	0.728	-0.924	0.797	(0.881, 1.045]	(0.383, 0.729]	(-1.358, -0.897]	(0.727, 0.884]
0	1.842	-0.78	-0.583	1.509	(1.663, 5.331]	(-1.216, -0.727]	(-0.897, -0.498]	(1.27, 1.578]
1	0.832	1.305	1.098	1.187	(0.745, 0.881]	(1.236, 2.43]	(0.796, 1.272]	(1.084, 1.27]
1	0.399	0.185	-1.26	1.759	(0.274, 0.463]	(-0.0025, 0.383]	(-1.358, -0.897]	(1.578, 5.7]
1	0.694	-0.023	0.247	0.844	(0.617, 0.745]	(-0.39, -0.0025]	(-0.0495, 0.416]	(0.727, 0.884]
1	0.351	-1.542	-1.212	1.485	(0.274, 0.463]	(-2.36, -1.216]	(-1.358, -0.897]	(1.27, 1.578]
1	0.878	-0.497	0.312	1.068	(0.745, 0.881]	(-0.727, -0.39]	(-0.0495, 0.416]	(0.884, 1.084]
0	0.701	-0.652	0.516	2.586	(0.617, 0.745]	(-0.727, -0.39]	(0.416, 0.796]	(1.578, 5.7]
0	3.291	0.586	-0.841	0.297	(1.663, 5.331]	(0.383, 0.729]	(-0.897, -0.498]	(0.018, 0.376]
1	1.037	-0.375	-0.433	1.485	(0.881, 1.045]	(-0.39, -0.0025]	(-0.498, -0.0495]	(1.27, 1.578]
0	0.465	-0.02	0.313	1.28	(0.463, 0.617]	(-0.39, -0.0025]	(-0.0495, 0.416]	(1.27, 1.578]
0	1.149	0.542	-0.779	0.412	(1.045, 1.267]	(0.383, 0.729]	(-0.897, -0.498]	(0.376, 0.56]
1	1.224	-1.015	1.297	0.718	(1.045, 1.267]	(-1.216, -0.727]	(1.272, 1.743]	(0.56, 0.727]
0	0.94	0.183	1.1	1.314	(0.881, 1.045]	(-0.0025, 0.383]	(0.796, 1.272]	(1.27, 1.578]
1	1.126	-0.754	1.556	1.08	(1.045, 1.267]	(-1.216, -0.727]	(1.272, 1.743]	(0.884, 1.084]
1	0.38	-1.178	0.873	1.237	(0.274, 0.463]	(-1.216, -0.727]	(0.796, 1.272]	(1.084, 1.27]
1	0.793	1.258	-1.374	0.374	(0.745, 0.881]	(1.236, 2.43]	(-1.742, -1.358]	(0.018, 0.376]
1	0.738	-0.628	-1.413	1.892	(0.617, 0.745]	(-0.727, -0.39]	(-1.742, -1.358]	(1.578, 5.7]
1	0.73	-0.971	0.273	1.771	(0.617, 0.745]	(-1.216, -0.727]	(-0.0495, 0.416]	(1.578, 5.7]
0	0.669	0.758	-0.462	0.211	(0.617, 0.745]	(0.729, 1.236]	(-0.498, -0.0495]	(0.018, 0.376]
1	1.337	0.073	-1.373	0.259	(1.267, 1.663]	(-0.0025, 0.383]	(-1.742, -1.358]	(0.018, 0.376]
0	0.299	-1.604	-0.905	1.22	(0.274, 0.463]	(-2.36, -1.216]	(-1.358, -0.897]	(1.084, 1.27]
0	0.617	-0.042	-1.005	0.378	(0.463, 0.617]	(-0.39, -0.0025]	(-1.358, -0.897]	(0.376, 0.56]
0	0.94	-0.703	1.332	1.113	(0.881, 1.045]	(-0.727, -0.39]	(1.272, 1.743]	(1.084, 1.27]
0	0.892	1.239	0.822	0.256	(0.881, 1.045]	(1.236, 2.43]	(0.796, 1.272]	(0.018, 0.376]
1	0.892	0.78	-1.602	0.373	(0.881, 1.045]	(0.729, 1.236]	(-1.742, -1.358]	(0.018, 0.376]
1	0.481	1.083	-1.015	1.993	(0.463, 0.617]	(0.729, 1.236]	(-1.358, -0.897]	(1.578, 5.7]
0	1.577	2.017	-1.364	0.56	(1.267, 1.663]	(1.236, 2.43]	(-1.742, -1.358]	(0.376, 0.56]
0	0.517	1.836	0.705	2.437	(0.463, 0.617]	(1.236, 2.43]	(0.416, 0.796]	(1.578, 5.7]
1	0.871	0.166	-0.658	1.662	(0.745, 0.881]	(-0.0025, 0.383]	(-0.897, -0.498]	(1.578, 5.7]
0	1.033	-0.488	-1.26	0.761	(0.881, 1.045]	(-0.727, -0.39]	(-1.358, -0.897]	(0.727, 0.884]
0	2.931	0.181	-0.816	1.29	(1.663, 5.331]	(-0.0025, 0.383]	(-0.897, -0.498]	(1.27, 1.578]
1	0.866	-1.386	1.434	0.824	(0.745, 0.881]	(-2.36, -1.216]	(1.272, 1.743]	(0.727, 0.884]
1	0.526	-0.454	-0.254	1.847	(0.463, 0.617]	(-0.727, -0.39]	(-0.498, -0.0495]	(1.578, 5.7]
0	0.697	-1.126	0.719	0.884	(0.617, 0.745]	(-1.216, -0.727]	(0.416, 0.796]	(0.884, 1.084]
1	0.877	0.08	0.958	1.354	(0.745, 0.881]	(-0.0025, 0.383]	(0.796, 1.272]	(1.27, 1.578]
1	0.838	-0.008	-0.861	0.536	(0.745, 0.881]	(-0.39, -0.0025]	(-0.897, -0.498]	(0.376, 0.56]
